contract_id,contract_name,publicEntityName,contract_amount,estimatedCost,procurement_method,contractorName1,contractDate,endOrCompleteDate,status,percentageOfCompletion,cost_variance_pct,bidder_count,contract_duration_days,payment_discrepancy,is_red_flag_entity,is_blacklisted_contractor,actual_payment_made
C-2025-106,IT System Development for Department of Roads,"Department of Roads, DOR",2460483.91,2253884.31,Direct,Pashupati Electricals,3/13/2025,10/17/2025,In-Progress,60.35,9.17,1,218,992164.75,FALSE,FALSE,1468319.16
C-2025-107,Supply of Laboratory Kits for Bagmati Province Physical Infrastructure Office,Bagmati Province Physical Infrastructure Office,8949277.4,9762775,Shopping,Sagarmatha Infra JV,5/12/2024,8/1/2024,Completed,100,-8.33,6,81,284856.12,FALSE,FALSE,8664421.28
C-2025-108,Water Supply Improvement for Butwal Sub-Metropolitan City Office,Butwal Sub-Metropolitan City Office,22634118.22,16381883.53,NCB,Lumbini Hydro Solutions,1/3/2025,10/20/2025,Completed,100,38.17,9,290,2057700.82,FALSE,FALSE,20576417.4
C-2025-109,Equipment Installation Service for Department of Roads,"Department of Roads, DOR",5077022.22,4925298.84,Shopping,Karnali Renewables,10/26/2023,5/1/2024,In-Progress,69.41,3.08,6,188,1458247.66,FALSE,FALSE,3618774.56
C-2025-110,Public Awareness Campaign for Department of Local Infrastructure,Department of Local Infrastructure,4008023.2,3946499.6,QCBS,Shree Ganesh Nirman Sewa,8/8/2024,5/8/2025,Completed,100,1.56,4,273,229789.7,FALSE,FALSE,3778233.5
C-2025-111,Supply of Vehicles for Department of Local Infrastructure,Department of Local Infrastructure,7287942.43,6626473.55,QCBS,Annapurna Developers,5/22/2025,6/16/2025,Completed,100,9.98,5,25,621918.19,FALSE,FALSE,6666024.24
C-2025-112,Waste Collection & Management for Lalitpur Metropolitan City Office,Lalitpur Metropolitan City Office,1488535.63,1789900.08,NCB,Hetauda Smart City Consortium,6/17/2025,9/12/2025,Completed,100,-16.84,8,87,-78741.13,FALSE,TRUE,1567276.76
C-2025-113,Solar Mini-Grid Installation for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,64874583.76,65476892.17,ICB,Arun Valley Construction,1/1/2025,12/26/2025,In-Progress,33.47,-0.92,7,359,37232338.14,FALSE,FALSE,27642245.62
C-2025-114,Water Supply Improvement for Biratnagar Metropolitan City Office,Biratnagar Metropolitan City Office,14326940.98,13999704.46,Direct,Bheri Hospital Constructors,5/1/2025,6/29/2026,In-Progress,33.11,2.34,1,424,10771968.23,FALSE,FALSE,3554972.75
C-2025-115,Irrigation Canal Upgrade for Department of Electricity Development,Department of Electricity Development,83943119.97,69855104.89,NCB,Nepal Security Printers,2/27/2024,6/12/2025,Completed,100,20.17,9,471,-2835443.65,FALSE,FALSE,86778563.62
C-2025-116,Road Rehabilitation for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,19929762.39,18513009.97,NCB,Hetauda Smart City Consortium,10/2/2023,7/9/2024,Completed,100,7.65,14,281,1033147.84,FALSE,FALSE,18896614.55
C-2025-117,Supervision & Quality Assurance for Biratnagar Metropolitan City Office,Biratnagar Metropolitan City Office,2249171.42,2322167.87,NCB,Kalika Water Projects,1/27/2024,6/27/2024,In-Progress,53.74,-3.14,5,152,1072712.81,FALSE,FALSE,1176458.61
C-2025-118,Road Rehabilitation for Province 1 Infrastructure Development Office,Province 1 Infrastructure Development Office,18886108.35,20598076.41,NCB,Himalayan Builders Pvt. Ltd.,4/9/2024,12/16/2024,In-Progress,67.52,-8.31,6,251,7241940.85,FALSE,FALSE,11644167.5
C-2025-119,Solar Mini-Grid Installation for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,41901503.78,33507432.78,NCB,Madan Bhandari Construction,5/27/2024,6/2/2025,Completed,100,25.05,4,371,-1366056.55,TRUE,FALSE,43267560.33
C-2025-120,Road Rehabilitation for Department of Electricity Development,Department of Electricity Development,37594157.14,34150866.98,NCB,Bagmati Bridge Builders,12/7/2024,9/13/2025,Completed,100,10.08,13,280,4071181.28,FALSE,FALSE,33522975.86
C-2025-121,Supply of Street Lights for Gandaki Province Physical Infrastructure Office,Gandaki Province Physical Infrastructure Office,6743181.97,6953344.7,Shopping,Nepal Road Maintenance JV,5/4/2024,5/28/2024,Completed,100,-3.02,6,24,365878.29,TRUE,FALSE,6377303.68
C-2025-122,River Embankment Protection for Lumbini Province Physical Infrastructure Office,Lumbini Province Physical Infrastructure Office,9851043.66,9772929.06,NCB,Nepal Security Printers,9/14/2023,11/23/2024,Completed,100,0.8,5,436,715786.41,FALSE,FALSE,9135257.25
C-2025-123,Supply of Computers & Networking for Department of Urban Development and Building Construction,Department of Urban Development and Building Construction,6740868.52,6044876.52,RFQ,Gandaki GIS & Survey,3/3/2025,5/5/2025,Completed,100,11.51,5,63,155534.3,FALSE,FALSE,6585334.22
C-2025-124,Social Safeguard Study for Sudurpashchim Province Physical Infrastructure Office,Sudurpashchim Province Physical Infrastructure Office,2521586.08,2774458.43,Direct,Sunrise Meditech Suppliers,2/6/2024,9/3/2024,Completed,100,-9.11,1,210,170919.18,FALSE,FALSE,2350666.9
C-2025-125,Municipal Office Complex for Department of Urban Development and Building Construction,Department of Urban Development and Building Construction,63397892.17,44594245.99,Direct,Koshi Irrigation Contractors,5/16/2024,7/13/2025,Completed,100,42.17,1,423,3031288.77,FALSE,FALSE,60366603.4
C-2025-126,River Embankment Protection for Lalitpur Metropolitan City Office,Lalitpur Metropolitan City Office,23633429.42,24686003.4,QCBS,Koshi Irrigation Contractors,10/7/2023,12/9/2024,Completed,100,-4.26,9,429,856454.48,FALSE,FALSE,22776974.94
C-2025-127,Waste Collection & Management for Gandaki Province Physical Infrastructure Office,Gandaki Province Physical Infrastructure Office,2257898.89,2574306.95,RFQ,Narayani Road Builders,8/24/2024,12/26/2024,Terminated,61.36,-12.29,5,124,826715.77,FALSE,FALSE,1431183.12
C-2025-128,Call Center Outsourcing for Department of Local Infrastructure,Department of Local Infrastructure,1944620.11,1843680.75,RFQ,Annapurna Developers,2/11/2025,5/21/2025,Completed,100,5.47,4,99,-46023.57,FALSE,FALSE,1990643.68
C-2025-129,ICT Security Audit for Sudurpashchim Province Physical Infrastructure Office,Sudurpashchim Province Physical Infrastructure Office,3724334.31,4651872.68,NCB,Koshal Logistics Pvt. Ltd.,2/7/2025,6/11/2025,Delayed,76.78,-19.94,7,124,937643.66,FALSE,FALSE,2786690.65
C-2025-130,Supply of Vehicles for Province 1 Infrastructure Development Office,Province 1 Infrastructure Development Office,5367980.44,4055106.92,RFQ,Koshal Logistics Pvt. Ltd.,7/30/2023,12/15/2023,Completed,100,32.38,4,138,324683.26,FALSE,FALSE,5043297.18
C-2025-131,Solar Mini-Grid Installation for National Public Procurement Monitoring Office,National Public Procurement Monitoring Office,21619190.12,21666972.97,QCBS,Prithvi Highway Upgrades JV,9/10/2023,1/23/2024,Completed,100,-0.22,5,135,-2174593.02,FALSE,FALSE,23793783.14
C-2025-132,Bridge Construction for Department of Urban Development and Building Construction,Department of Urban Development and Building Construction,23406859.6,25736513.2,NCB,Gorkha Consulting Engineers,7/13/2024,8/16/2025,Completed,100,-9.05,8,399,3105344.02,FALSE,FALSE,20301515.58
C-2025-133,ICT Security Audit for Sudurpashchim Province Physical Infrastructure Office,Sudurpashchim Province Physical Infrastructure Office,4624548.66,3804013.38,NCB,Gautam Engineering Services,8/20/2023,1/31/2024,Completed,100,21.57,14,164,-317360.77,FALSE,FALSE,4941909.43
C-2025-134,Municipal Office Complex for Sudurpashchim Province Physical Infrastructure Office,Sudurpashchim Province Physical Infrastructure Office,20807566.48,22387564.57,NCB,Mountain Steel Fabricators,10/25/2023,11/28/2024,Completed,100,-7.06,9,400,-2834855.56,FALSE,FALSE,23642422.04
C-2025-135,Hospital Building Extension for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,30982477.22,29274620.59,NCB,Prithvi Highway Upgrades JV,3/5/2025,3/21/2026,In-Progress,33.75,5.83,4,381,18982339.53,FALSE,FALSE,12000137.69
C-2025-136,Supervision & Quality Assurance for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,3376009.02,3182499.92,NCB,Himalayan Builders Pvt. Ltd.,11/21/2024,2/27/2025,Completed,100,6.08,15,98,-97022.41,FALSE,FALSE,3473031.43
C-2025-137,Bridge Construction for Department of Local Infrastructure,Department of Local Infrastructure,49750146.51,46705339.64,QCBS,Kantipur Traders & Suppliers,8/10/2024,9/14/2025,Completed,100,6.52,10,400,805579.05,FALSE,FALSE,48944567.46
C-2025-138,Environmental Impact Assessment (EIA) for National Public Procurement Monitoring Office,National Public Procurement Monitoring Office,2676627.15,2797814.28,RFQ,Prithvi Highway Upgrades JV,6/26/2025,9/25/2025,Completed,100,-4.33,6,91,-121570.58,FALSE,FALSE,2798197.73
C-2025-139,Design Consultancy for Lumbini Province Physical Infrastructure Office,Lumbini Province Physical Infrastructure Office,4834666.29,5621153.09,RFQ,Bagmati Bridge Builders,9/29/2023,1/1/2024,In-Progress,65.34,-13.99,6,94,1131274.45,FALSE,FALSE,3703391.84
C-2025-140,Supervision & Quality Assurance for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,1867115.68,1468586.5,Direct,Karnali Renewables,12/20/2023,4/1/2024,Completed,100,27.14,1,103,-167597.27,FALSE,FALSE,2034712.95
C-2025-141,Maintenance Service Contract for Karnali Province Physical Infrastructure Office,Karnali Province Physical Infrastructure Office,2361923.53,2441275.27,NCB,Janakpur IT & Systems,2/27/2024,7/28/2024,Completed,100,-3.25,5,152,159499.14,FALSE,FALSE,2202424.39
C-2025-142,River Embankment Protection for Nepal Telecommunications Authority,Nepal Telecommunications Authority,28847465.88,29226157.39,QCBS,Hetauda Smart City Consortium,1/28/2025,11/12/2026,In-Progress,73.14,-1.3,10,653,6915875.49,FALSE,FALSE,21931590.39
C-2025-143,River Embankment Protection for Department of Urban Development and Building Construction,Department of Urban Development and Building Construction,16613319.76,17553238.31,Shopping,Janakpur IT & Systems,9/23/2024,10/14/2025,Completed,100,-5.35,3,386,-1876000.49,FALSE,FALSE,18489320.25
C-2025-144,Bridge Construction for Department of Roads,"Department of Roads, DOR",69435718.99,65176123.62,RFQ,Hetauda Smart City Consortium,10/5/2024,3/10/2026,In-Progress,30.26,6.54,3,521,48948516.74,FALSE,FALSE,20487202.25
C-2025-145,Supply of Vehicles for Department of Electricity Development,Department of Electricity Development,11376902.47,9066301.87,RFQ,Madan Bhandari Construction,1/18/2025,4/20/2025,Completed,100,25.49,3,92,-1044092.69,FALSE,FALSE,12420995.16
C-2025-146,Supply of Smart Cards for Pokhara Metropolitan City Office,Pokhara Metropolitan City Office,5317742.69,4671889.41,RFQ,Nepal Security Printers,10/14/2023,1/5/2024,In-Progress,13.63,13.82,5,83,4330289.8,FALSE,TRUE,987452.89
C-2025-147,Waste Collection & Management for Province 1 Infrastructure Development Office,Province 1 Infrastructure Development Office,1355278.59,1144655.49,RFQ,Gorkha Consulting Engineers,7/7/2024,11/7/2024,In-Progress,46.61,18.4,5,123,587863.89,FALSE,FALSE,767414.7
C-2025-148,ICT Security Audit for Lalitpur Metropolitan City Office,Lalitpur Metropolitan City Office,1662088.78,1613075.17,RFQ,Karnali Renewables,10/5/2023,2/16/2024,Completed,100,3.04,6,134,27197.45,FALSE,FALSE,1634891.33
C-2025-149,Detailed Project Report (DPR) for National Public Procurement Monitoring Office,National Public Procurement Monitoring Office,3190114.32,3101709.41,NCB,Janakpur IT & Systems,6/23/2024,7/23/2024,In-Progress,72.41,2.85,8,30,526249.66,FALSE,FALSE,2663864.66
C-2025-150,Solar Mini-Grid Installation for Department of Urban Development and Building Construction,Department of Urban Development and Building Construction,22717969.69,19701407.04,NCB,Lumbini Hydro Solutions,5/17/2025,9/24/2026,Delayed,99,15.31,15,495,146460.34,FALSE,FALSE,22571509.35
C-2025-151,Municipal Office Complex for Rastriya Banijya Bank (Procurement Unit),Rastriya Banijya Bank (Procurement Unit),26311717.96,26937152,Direct,Bagmati Bridge Builders,7/19/2023,7/14/2024,Completed,100,-2.32,1,361,227902.23,FALSE,FALSE,26083815.73
C-2025-152,Solar Mini-Grid Installation for Biratnagar Metropolitan City Office,Biratnagar Metropolitan City Office,19228125.51,19152551.43,Shopping,Kantipur Traders & Suppliers,4/28/2024,2/13/2025,Completed,100,0.39,3,291,626942.38,FALSE,FALSE,18601183.13
C-2025-153,River Embankment Protection for Sudurpashchim Province Physical Infrastructure Office,Sudurpashchim Province Physical Infrastructure Office,28455674.01,27585008.18,NCB,Gautam Engineering Services,11/12/2023,8/12/2024,Completed,100,3.16,13,274,-2567828.05,FALSE,FALSE,31023502.06
C-2025-154,GIS Mapping and Survey for Department of Electricity Development,Department of Electricity Development,5342360.12,6141204.42,NCB,Sagarmatha Infra JV,8/24/2024,9/23/2024,Completed,100,-13.01,9,30,664607.84,FALSE,FALSE,4677752.28
C-2025-155,ICT Security Audit for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,2765830.78,2298678.08,QCBS,Shikhar Energy Solutions,3/1/2024,7/8/2024,Delayed,35.55,20.32,6,129,1966877.83,FALSE,FALSE,798952.95
C-2025-156,Public Awareness Campaign for Department of Roads,"Department of Roads, DOR",3689698.4,4252696.98,ICB,Gandaki GIS & Survey,11/26/2024,6/21/2025,Delayed,73.04,-13.24,11,207,1244694.32,FALSE,FALSE,2445004.08
C-2025-157,Solar Mini-Grid Installation for Department of Local Infrastructure,Department of Local Infrastructure,35805953.51,30554819.33,ICB,Sunrise Meditech Suppliers,10/14/2023,8/6/2024,Completed,100,17.19,6,297,-1531775.32,FALSE,FALSE,37337728.83
C-2025-158,Drainage & Sewer Line Expansion for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,21318962.98,23137794.49,NCB,Nepal Security Printers,6/22/2024,5/19/2025,Completed,100,-7.86,4,331,-568273.99,FALSE,FALSE,21887236.97
C-2025-159,Public Awareness Campaign for Kathmandu Metropolitan City Office,Kathmandu Metropolitan City Office,4080370.75,3551034.05,NCB,Dolakha Telecom Services,10/10/2023,1/19/2024,Completed,100,14.91,15,101,-150794.74,FALSE,FALSE,4231165.49
C-2025-160,Security Service Contract for Biratnagar Metropolitan City Office,Biratnagar Metropolitan City Office,2106849.16,2189302.73,ICB,Patan Heritage Restoration Group,10/2/2024,2/28/2025,In-Progress,23.72,-3.77,5,149,1490297.41,FALSE,FALSE,616551.75
C-2025-161,Municipal Office Complex for Department of Roads,"Department of Roads, DOR",19508604.6,21964369.35,NCB,Arun Valley Construction,5/4/2024,4/6/2025,Completed,100,-11.18,5,337,824445.75,FALSE,FALSE,18684158.85
C-2025-162,Water Supply Improvement for Nepal Telecommunications Authority,Nepal Telecommunications Authority,10490939.06,11253852.68,QCBS,Buddha IT Solutions,12/30/2024,7/8/2025,Completed,100,-6.78,4,190,805974.38,FALSE,FALSE,9684964.68
C-2025-163,Bridge Construction for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,7654791.54,9213113.92,RFQ,Kalika Water Projects,8/30/2024,3/23/2026,In-Progress,60.28,-16.91,4,570,3084902.32,FALSE,FALSE,4569889.22
C-2025-164,Waste Collection & Management for Rastriya Banijya Bank (Procurement Unit),Rastriya Banijya Bank (Procurement Unit),2898231.41,2885142.52,RFQ,Sunrise Meditech Suppliers,7/21/2023,10/21/2023,In-Progress,82.58,0.45,6,92,485008.42,FALSE,FALSE,2413222.99
C-2025-165,Irrigation Canal Upgrade for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,21462819.55,21316153.91,NCB,Annapurna Developers,2/15/2025,2/28/2026,Delayed,62.7,0.69,15,378,10207933.83,FALSE,FALSE,11254885.72
C-2025-166,Social Safeguard Study for Sudurpashchim Province Physical Infrastructure Office,Sudurpashchim Province Physical Infrastructure Office,4567464.72,4661115.34,NCB,Hetauda Smart City Consortium,6/12/2025,8/20/2025,Completed,100,-2.01,11,69,50420.24,FALSE,FALSE,4517044.48
C-2025-167,Water Supply Improvement for Butwal Sub-Metropolitan City Office,Butwal Sub-Metropolitan City Office,32885718.17,30755672,NCB,Sagarmatha Infra JV,5/19/2024,5/16/2025,Completed,100,6.93,8,362,1535706.59,FALSE,FALSE,31350011.58
C-2025-168,Drainage & Sewer Line Expansion for Department of Roads,"Department of Roads, DOR",14842070.88,15569188.84,RFQ,Sudur Cement & Hardware,8/18/2023,9/4/2024,Completed,100,-4.67,5,383,1516191.99,FALSE,FALSE,13325878.89
C-2025-169,Supply of Laboratory Kits for Ministry of Health and Population,Ministry of Health and Population,8337706.54,8593870.63,QCBS,Karnali Renewables,1/8/2024,5/18/2024,Completed,100,-2.98,7,131,-491603.34,FALSE,FALSE,8829309.88
C-2025-170,Policy & Process Review for Lalitpur Metropolitan City Office,Lalitpur Metropolitan City Office,5160100.06,4020208.63,Direct,Koshi Irrigation Contractors,3/8/2025,11/12/2025,In-Progress,23.01,28.35,1,249,4166208.62,FALSE,FALSE,993891.44
C-2025-171,Supply of Vehicles for Province 1 Infrastructure Development Office,Province 1 Infrastructure Development Office,8527693.72,7785023.21,NCB,Koshi Irrigation Contractors,12/18/2023,3/18/2024,Completed,100,9.54,15,91,-95561.39,FALSE,FALSE,8623255.11
C-2025-172,Procurement of Electric Poles for Bagmati Province Physical Infrastructure Office,Bagmati Province Physical Infrastructure Office,4848796.55,4030322.93,NCB,Green Valley Engineering,9/15/2023,11/13/2023,Completed,100,20.31,14,59,268594.21,FALSE,FALSE,4580202.34
C-2025-173,Equipment Installation Service for Province 1 Infrastructure Development Office,Province 1 Infrastructure Development Office,1561030.97,1758403.07,NCB,Nepal Security Printers,8/5/2023,9/26/2023,Completed,100,-11.22,6,52,88922.46,FALSE,FALSE,1472108.51
C-2025-174,Call Center Outsourcing for Biratnagar Metropolitan City Office,Biratnagar Metropolitan City Office,3023703.78,3090770.54,NCB,Nepal Security Printers,7/14/2024,3/22/2025,Completed,100,-2.17,9,251,155725.18,TRUE,FALSE,2867978.6
C-2025-175,Water Supply Improvement for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,18898957.21,19175660.2,RFQ,Narayani Road Builders,7/27/2023,10/13/2024,Completed,100,-1.44,4,444,-2902975.69,FALSE,FALSE,21801932.9
C-2025-176,Environmental Impact Assessment (EIA) for Butwal Sub-Metropolitan City Office,Butwal Sub-Metropolitan City Office,5483055.06,5020388.45,Direct,Gautam Engineering Services,4/18/2024,9/9/2024,Completed,100,9.22,1,144,11510.63,FALSE,FALSE,5471544.43
C-2025-177,GIS Mapping and Survey for Lumbini Province Physical Infrastructure Office,Lumbini Province Physical Infrastructure Office,2465400.49,3001609.88,ICB,Nepal Security Printers,9/28/2023,6/10/2024,Completed,100,-17.86,10,256,-104693.52,FALSE,FALSE,2570094.01
C-2025-178,Supervision & Quality Assurance for Lumbini Province Physical Infrastructure Office,Lumbini Province Physical Infrastructure Office,4345204.94,4852318.75,QCBS,Seti River Works,7/5/2024,10/29/2024,Completed,100,-10.45,8,116,-162113.5,FALSE,FALSE,4507318.44
C-2025-179,GIS Mapping and Survey for Agriculture Development Bank (Procurement Unit),Agriculture Development Bank (Procurement Unit),2356736.24,2286735.9,NCB,Kalika Water Projects,7/12/2024,9/5/2024,In-Progress,53.14,3.06,11,55,1016600.98,FALSE,FALSE,1340135.26
C-2025-180,Irrigation Canal Upgrade for Nepal Telecommunications Authority,Nepal Telecommunications Authority,11980529.94,12527126.55,Direct,Nepal Road Maintenance JV,8/24/2024,9/9/2025,Completed,100,-4.36,1,381,-438908.45,FALSE,FALSE,12419438.39
C-2025-181,Procurement of Electric Poles for Gandaki Province Physical Infrastructure Office,Gandaki Province Physical Infrastructure Office,11300871.03,12431756.64,NCB,Nepal Road Maintenance JV,6/17/2024,10/7/2024,Delayed,66.48,-9.1,6,112,3835627.99,FALSE,FALSE,7465243.04
C-2025-182,School Building Reconstruction for Pokhara Metropolitan City Office,Pokhara Metropolitan City Office,34544915.42,35405861.85,Shopping,Narayani Road Builders,12/12/2024,5/21/2025,Completed,100,-2.43,4,160,-562900.08,FALSE,FALSE,35107815.5
C-2025-183,Water Supply Improvement for Department of Roads,"Department of Roads, DOR",13955246.32,15718887.22,Shopping,Shree Ganesh Nirman Sewa,3/13/2024,10/5/2024,Completed,100,-11.22,4,206,33120.11,FALSE,FALSE,13922126.21
C-2025-184,Supply of Water Meters for Bagmati Province Physical Infrastructure Office,Bagmati Province Physical Infrastructure Office,6676865.43,6700706.76,NCB,Gorkha Consulting Engineers,2/26/2025,6/23/2025,Completed,100,-0.36,13,117,-375887.68,FALSE,FALSE,7052753.11
C-2025-185,River Embankment Protection for Pokhara Metropolitan City Office,Pokhara Metropolitan City Office,28280199.86,26711411.35,Shopping,Everest Construction Co.,9/22/2023,7/16/2024,Delayed,44.14,5.87,3,298,16321926.61,FALSE,FALSE,11958273.25
C-2025-186,Water Supply Improvement for Nepal Telecommunications Authority,Nepal Telecommunications Authority,20030182.66,23048545.61,RFQ,Shikhar Energy Solutions,4/22/2024,5/13/2025,Completed,100,-13.1,5,386,1075148.86,FALSE,FALSE,18955033.8
C-2025-187,Irrigation Canal Upgrade for Birgunj Metropolitan City Office,Birgunj Metropolitan City Office,20504631.9,24065001.77,Direct,Nepal Security Printers,8/29/2024,8/1/2025,Completed,100,-14.79,1,337,-241817,FALSE,FALSE,20746448.9
C-2025-188,Detailed Project Report (DPR) for Department of Local Infrastructure,Department of Local Infrastructure,1675291.66,1728978.11,NCB,Prithvi Highway Upgrades JV,11/11/2023,6/9/2024,Completed,100,-3.11,9,211,-89423.46,FALSE,FALSE,1764715.12
C-2025-189,Irrigation Canal Upgrade for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,50591200.96,47450771.69,NCB,Green Valley Engineering,4/23/2024,4/27/2025,In-Progress,90.23,6.62,10,369,-2035480.68,FALSE,FALSE,52626681.64
C-2025-190,Maintenance Service Contract for Butwal Sub-Metropolitan City Office,Butwal Sub-Metropolitan City Office,1981815.43,2327456.2,Direct,Gorkha Consulting Engineers,11/22/2024,3/3/2025,In-Progress,94.49,-14.85,1,101,171370.75,FALSE,FALSE,1810444.68
C-2025-191,Health Screening Camp Service for Hetauda Sub-Metropolitan City Office,Hetauda Sub-Metropolitan City Office,2133334.75,1789155.19,RFQ,Terai Concrete & Steel,2/17/2025,5/26/2025,Completed,100,19.24,5,98,117587.53,FALSE,FALSE,2015747.22
C-2025-192,Drainage & Sewer Line Expansion for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,16840907.6,16770812.6,NCB,Koshi Irrigation Contractors,11/15/2023,7/11/2024,Completed,100,0.42,8,239,-236663.32,FALSE,FALSE,17077570.92
C-2025-193,River Embankment Protection for Department of Local Infrastructure,Department of Local Infrastructure,14665195.27,16397428.89,RFQ,Sunrise Meditech Suppliers,4/21/2024,10/19/2025,Completed,100,-10.56,3,546,188291.29,FALSE,FALSE,14476903.98
C-2025-194,Supply of Water Meters for Bharatpur Metropolitan City Office,Bharatpur Metropolitan City Office,9224833.93,7982003.03,NCB,Prithvi Highway Upgrades JV,7/17/2024,10/13/2024,Completed,100,15.57,9,88,-211659.98,FALSE,FALSE,9436493.91
C-2025-195,Hospital Building Extension for Pokhara Metropolitan City Office,Pokhara Metropolitan City Office,35872113.12,37116883.96,RFQ,Sagarmatha Infra JV,11/18/2023,12/1/2024,In-Progress,99,-3.35,5,379,1731345.98,FALSE,FALSE,34140767.14
C-2025-196,Municipal Office Complex for Birgunj Metropolitan City Office,Birgunj Metropolitan City Office,18367910.11,17143555.65,RFQ,Prithvi Highway Upgrades JV,3/23/2025,1/13/2026,In-Progress,39.07,7.14,5,296,9881182.7,FALSE,FALSE,8486727.41
C-2025-197,Supply of Medical Equipment for Kathmandu Metropolitan City Office,Kathmandu Metropolitan City Office,4948657.34,4454372.24,NCB,Bagmati Bridge Builders,6/4/2024,10/28/2024,Completed,100,11.1,14,146,-139972.44,FALSE,FALSE,5088629.78
C-2025-198,Supply of Water Meters for Bagmati Province Physical Infrastructure Office,Bagmati Province Physical Infrastructure Office,9033639.67,9253615.68,NCB,Madan Bhandari Construction,2/11/2025,4/19/2025,Completed,100,-2.38,7,67,821561.17,FALSE,FALSE,8212078.5
C-2025-199,Environmental Impact Assessment (EIA) for Gandaki Province Physical Infrastructure Office,Gandaki Province Physical Infrastructure Office,7334831.17,6795466.98,NCB,Arun Valley Construction,8/2/2023,3/31/2024,In-Progress,45.31,7.94,13,242,3885612.7,TRUE,FALSE,3449218.47
C-2025-200,Solar Mini-Grid Installation for Rastriya Banijya Bank (Procurement Unit),Rastriya Banijya Bank (Procurement Unit),39631173,49191184.66,NCB,Gautam Engineering Services,10/25/2024,11/29/2025,In-Progress,50.58,-19.43,15,400,21483973.07,FALSE,FALSE,18147199.93
