contractRecordsTO.SCPType,contractRecordsTO.beneficialOwner,contractRecordsTO.biddingProcess,contractRecordsTO.bolpatraId1,contractRecordsTO.bolpatraId2,contractRecordsTO.bolpatraId3,contractRecordsTO.contractAddress,contractRecordsTO.contractAmount,contractRecordsTO.contractDate,contractRecordsTO.contractId,contractRecordsTO.contractName,contractRecordsTO.contractStatus,contractRecordsTO.contractType,contractRecordsTO.contractorCountry1,contractRecordsTO.contractorCountry2,contractRecordsTO.contractorCountry3,contractRecordsTO.contractorGenericName,contractRecordsTO.contractorName1,contractRecordsTO.contractorName2,contractRecordsTO.contractorName3,contractRecordsTO.contractorType,contractRecordsTO.deliveryDate,contractRecordsTO.dlpEndDate,contractRecordsTO.dlpStartDate,contractRecordsTO.donorParty,contractRecordsTO.endOrCompleteDate,contractRecordsTO.estimatedCost,contractRecordsTO.fiscalYear,contractRecordsTO.grantLoanNo,contractRecordsTO.ifbNo,contractRecordsTO.isSCP,contractRecordsTO.outstandingValue,contractRecordsTO.percentageOfCompletion,contractRecordsTO.postValidationDate,contractRecordsTO.procurementCategoryId,contractRecordsTO.procurementMethodId,contractRecordsTO.projectDescription,contractRecordsTO.publicEntity,contractRecordsTO.publicEntityName,contractRecordsTO.sharedPercentage1,contractRecordsTO.sharedPercentage2,contractRecordsTO.sharedPercentage3,contractRecordsTO.sourceOfFund,contractRecordsTO.startDate,contractRecordsTO.totalPayment,contractRecordsTO.vat_no1,contractRecordsTO.vat_no2,contractRecordsTO.vat_no3,contractRecordsTO.warrantyPeriod,contract_id
,,--Select Bidding Process --,,,,"Siddharthanagar -13, Rupandehi",96593588.04,23-05-2021,UDB-RUP/35000021/NCB/077-78/33,"Building Construction Work  of Maternity Block at Bhim Hospital, Bhairahawa, Rupandehi",In-Progress,Unit rate contract,Nepal,Nepal,--Select Country--,"C.M. / Maa Gayatri J-V, Siddharthanagar -13, Rupandehi",C.M. Construction Pvt.Ltd.,Maa Gayatri Nirman Sewa,,Joint Venture,,,,,,146571364.83,2077/78,,UDB-RUP/35000021/NCB/077-78/33,No,100.00,40,,Works,NCB,"Building Construction Work  of Maternity Block at Bhim Hospital, Bhairahawa, Rupandehi",2044,"Urban Development and Building Office, Rupandehi",51,49,,Goverment,,27451328.00,301786089,300209327,,0,UDB-RUP/35000021/NCB/077-78/33
,,Only e-Bid,,,,"Ilam 7, Ilam",25177870.36,19-06-2019,UDBO/ILAM/W/NCB/05/075-76,"Construction of Physical Infrastructures at Kankai Muktighat, Shivasatashi, Jhapa",Completed,Unit rate contract,Nepal,Nepal,--Select Country--,Biruwa-Bhagawati J.V,Biruwa Construction Pvt.Ltd.,Bhagawati Nirman Sewa,,Joint Venture,,19-06-2022,19-06-2021,,17-06-2021,35206541.55,,,UDBO/ILAM/W/NCB/05/075-76,No,0.00,100,,Works,NCB,"Construction of Physical Infrastructures at Kankai Muktighat, Shivasatashi, Jhapa
RCC construction work",1846,"Urban Development and Building Office, Ilam",50,50,,Goverment,19-06-2019,23050892.00,300975015,301560481,,0,UDBO/ILAM/W/NCB/05/075-76
,,Only e-Bid,,,,"Bharatpur,Chitwan",4381654.67,06-06-2022,39-BMC/2078/079/W/NCB/108,Blacktopped Road Construction Works(Hemlal Mahatoko Culvert Dekhi Purba Dadrahani Chowk Jane Bato) BMC20,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,F.T.P. Nirman Sewa Pvt Ltd,F.T.P. Nirman Sewa Pvt Ltd,,,Single,,,,,08-09-2022,4913326.63,,,39-BMC/2078/079/W/NCB/108,No,4381654.67,0,,Works,NCB,"Blacktopped Road Construction Works(Hemlal Mahatoko
Culvert Dekhi Purba Dadrahani Chowk Jane Bato) BMC20",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,06-06-2022,0.00,606697118,,,0,39-BMC/2078/079/W/NCB/108
,,Only e-Bid,,,,Lalitpur,3385312.20,09-06-2022,35-BMC/2078/079/W/NCB/97,"construction of Tekwando Dojangko Covered Hall, BMC 26 chitwan",In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Beacon Construction Pvt. Ltd.,Beacon Construction Pvt. Ltd.,,,Single,,,,,11-09-2022,3867498.65,2078/79,,35-BMC/2078/079/W/NCB/97,No,3385312.20,0,,Works,NCB,Building Construction Works,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,13-06-2022,0.00,606641324,,,0,35-BMC/2078/079/W/NCB/97
,,Only e-Bid,,,,"Kathmandu-32, Pepsicola",108755917.17,23-05-2021,UDB-RUP/33704013/NCB/077-78/34,"Building Construction Work of Veterinary Referral Hospital, Bhairahawa, Rupandehi",In-Progress,Unit rate contract,Nepal,Nepal,--Select Country--,Rabina/Multitech JV,Rabina Construction Pvt.Ltd.,Multitech Construction & suppliers Company Pvt.Ltd.,,Joint Venture,,,,,,182182126.32,2077/78,,UDB-RUP/33704013/NCB/077-78/34,No,100.00,30,,Works,NCB,"Building Construction Work of Veterinary Referral Hospital, Bhairahawa, Rupandehi",2044,"Urban Development and Building Office, Rupandehi",60,40,,Goverment,,7051891.00,300011481,601116735,,0,UDB-RUP/33704013/NCB/077-78/34
,,Only e-Bid,,,,Chitwan,2554046.34,23-05-2022,35-BMC/2078/079/W/NCB/98,"Blacktopped Road construction from basanta chowk to shree krishna sir's house to baburam chowk,BMC-18",In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,F.T.P. Nirman Sewa Pvt Ltd,F.T.P. Nirman Sewa Pvt Ltd,,,Single,,,,,25-08-2022,2751292.97,2078/79,,35-BMC/2078/079/W/NCB/98,No,2554046.34,0,,Works,NCB,Road Construction Works,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,23-05-2022,0.00,606697118,,,0,35-BMC/2078/079/W/NCB/98
,,Only e-Bid,,,,Chitwan,2843119.23,06-06-2022,37-BMC/2078/079/W/NCB/102,"Construction of Additional Storey in Sukranagar Health Post, BMC-25",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,Shivasthal Nirman Pvt Ltd,Shivasthal Nirman Pvt Ltd,,,Single,,,,,08-08-2022,3354698.79,2078/79,,37-BMC/2078/079/W/NCB/102,No,0.00,100,,Works,NCB,Building Construction Works,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,13-06-2022,2843119.23,609512858,,,0,37-BMC/2078/079/W/NCB/102
,,Only e-Bid,UDB-RUP/33704012/NCB/077-78/38,,,"Jahada-6, Nawalparasi",14581704.87,26-03-2021,UDB-RUP/33704012/NCB/077-78/38,"Upgrading  works of Road at Magarmudaha  & Basnta ma.vi Tola ( Ekikrit Basti Bikas), Sarawal",In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,"Navin Construction,","Navin Construction,",,,Single,,,,,,19736891.04,2077/78,,UDB-RUP/33704012/NCB/077-78/38,No,14581704.87,0,,Works,NCB,"Upgrading  works of Road at Magarmudaha  & Basnta ma.vi Tola ( Ekikrit Basti Bikas), Sarawal",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,7815234.00,300119086,,,0,UDB-RUP/33704012/NCB/077-78/38
,,Only e-Bid,,,,Kathmandu-10,13051750.44,07-06-2022,37-BMC/2078/079/W/NCB/103,"Construction of ward office Building, Bharatur",In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Baladev Builders Pvt. Ltd.,Baladev Builders Pvt. Ltd.,,,Single,,,,,02-02-2023,18040035.07,2078/79,,37-BMC/2078/079/W/NCB/103,No,13051750.44,0,,Works,NCB,Building Construction Works,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,13-06-2022,0.00,609657678,,,0,37-BMC/2078/079/W/NCB/103
,,Only e-Bid,,,,Bharatpur-12,6575074.50,14-11-2021,3-BMC/2078/079/G/NCB/3,Procurement of Stationery-Masland related Goods.,Completed,Contract for Supply of specific goods or other service,Nepal,--Select Country--,--Select Country--,Sanjivani Order  Suppliers,Sanjivani Order  Suppliers,,,Single,,,,,01-05-2022,14029599.75,2078/79,,3-BMC/2078/079/G/NCB/3,No,0.00,100,,Goods,NCB,Procurement of Stationery-Masland related Goods.,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,14-11-2021,6575074.50,305246055,,,0,3-BMC/2078/079/G/NCB/3
,,Only e-Bid,,,,Chitwan,2372651.72,06-06-2022,38-BMC/2078/079/W/NCB/105,Blacktopped road construction (Patlaharu Tharu Village to Panchakanya Chowk) at BMC 22,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Pradip Nirman Sewa,Pradip Nirman Sewa,,,Single,,,,,08-09-2022,2394695.46,2078/79,,38-BMC/2078/079/W/NCB/105,No,2372651.72,0,,Works,NCB,Road Construction Works,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,13-06-2022,0.00,611317409,,,0,38-BMC/2078/079/W/NCB/105
Covid,,Only e-Bid,,,,Chhangunarayan,12680837.85,23-05-2021,UDB-RUP/33704013/NCB/077-78/44,"Construction of Truss Building at Prithivi Chandra Hospital,Parasi,West Nawalparasi",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,Aislinn Construction,"Aislinn Construction,Chhangunarayan",,,Single,,,,,,20000000.00,2077/78,,UDB-RUP/33704013/NCB/077-78/44,Yes,0.00,100,,Works,NCB,"Construction of Truss Building at Prithivi Chandra Hospital,Parasi,West Nawalparasi",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,8591232.00,606593946,,,0,UDB-RUP/33704013/NCB/077-78/44
,,Only e-Bid,,,,BMC-9,1886094.30,15-12-2021,4-BMC/2078/079/G/NCB/4,"Procurement of Printed Forms and Documents for Office, BMC",Completed,Contract for Supply of specific goods or other service,Nepal,--Select Country--,--Select Country--,Siddhababa Press  Pvt. Ltd.,Siddhababa Press  Pvt. Ltd.,,,Single,,,,,07-04-2022,4296523.67,2078/79,,4-BMC/2078/079/G/NCB/4,No,0.00,100,,Goods,NCB,"Procurement of Printed Forms and Documents for Office, BMC",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,15-12-2021,1886094.30,606679732,,,0,4-BMC/2078/079/G/NCB/4
,,Only e-Bid,,,,"Baneshwor-10, Kathmandu",41846863.96,18-01-2022,5-BMC/2078/079/W/NCB/7,Blacktopped Road Construction on Bharatpur ward no. 15.(Ghumaune chowk Yelauli chowk-Suryanagar School-Suryaratna Chowk Road Sectio,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,DHULIKHEL NIRMAN SEWA PVT. LTD.,DHULIKHEL NIRMAN SEWA PVT. LTD.,,,Single,,,,,04-07-2022,61171328.20,2078/79,,5-BMC/2078/079/W/NCB/7,No,41846863.96,0,,Works,NCB,Blacktopped Road Construction on Bharatpur ward no. 15.(Ghumaune chowk Yelauli chowk-Suryanagar School-Suryaratna Chowk Road Sectio,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,18-01-2022,0.00,300184365,,,0,5-BMC/2078/079/W/NCB/7
,,Only e-Bid,,,,Kathmandu,63782797.13,01-02-2022,6-BMC/2078/079/W/NCB/8,"Blacktopped Road Maintenance and Rigid Pavement Works at Different Ward of  Bharatpur Metropolitan city.""",In-Progress,Unit rate contract,Nepal,Nepal,--Select Country--,Worldwide-Dhulikhel JV,Worldwide,Dhulikhel,,Joint Venture,,,,,14-07-2022,81340922.00,2078/79,,6-BMC/2078/079/W/NCB/8,No,63782797.13,0,,Works,NCB,"""Blacktopped Road Maintenance and Rigid Pavement Works at Different Ward of
 Bharatpur Metropolitan city.""",887,Bharatpur Metropolitian City Office,50,50,,Internal Resource,01-02-2022,0.00,301875211,300184365,,0,6-BMC/2078/079/W/NCB/8
,,Only e-Bid,,,,Kathmandu,28842011.76,11-11-2020,UDB-RUP/350000194/077-78/48,"Province Library Building Construction Work,Butwal-12,Rupandehi",In-Progress,Unit rate contract,Nepal,Nepal,Nepal,Mahesh-Kamakhya-Satyawati J.V.,Kaamakhya Construction,Mahesh Engineering & Builders,Satyawati construction Pvt.Ltd.,Joint Venture,,,,,,43119772.65,2077/78,,UDB-RUP/350000194/077-78/48,No,28842011.76,30,,Works,NCB,"Province Library Building Construction Work,Butwal-12,Rupandehi",2044,"Urban Development and Building Office, Rupandehi",30,40,30,Goverment,,2614062.00,600326612,609603343,603494680,0,UDB-RUP/350000194/077-78/48
,,Only e-Bid,,,,Bharatpur,16253920.00,19-01-2022,8-BMC/2078/079/W/NCB/10,"Gravel Road Maintenance and Filling Works at Different ward of Bharatpur  Metropolitan City.""",In-Progress,Unit rate contract,Nepal,Nepal,--Select Country--,Omsatya Sai-Highway JV,Omsatya Sai,Highway,,Joint Venture,,,,,14-07-2022,21391171.20,2078/79,,8-BMC/2078/079/W/NCB/10,No,16253920.00,0,,Works,NCB,"Gravel Road Maintenance and Filling Works at Different ward of Bharatpur
 Metropolitan City.",887,Bharatpur Metropolitian City Office,51,49,,Internal Resource,26-01-2022,0.00,609586491,605922822,,0,8-BMC/2078/079/W/NCB/10
,,Only e-Bid,42-BMC/2078/079/W/NCB/125,,,bharatpur-chitwan,2528763.16,01-07-2022,42-BMC/2078/079/W/NCB/125,"Blacktopped Road Construction from South of Nahar Chowk to Rajendra Sankhi's House, BMC-14",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,"S B Construction,Bharatpur chitwan","S B Construction,Bharatpur chitwan",,,Single,,,,,11-10-2022,2897435.90,2078/79,,42-BMC/2078/079/W/NCB/125,No,0.00,100,,Works,NCB,"Blacktopped Road Construction from South of Nahar
Chowk to Rajendra Sankhi's House, BMC-14",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,01-07-2022,2528763.16,602878447,,,0,42-BMC/2078/079/W/NCB/125
,,Only e-Bid,42-BMC/2078/079/W/NCB/126,,,bharatpur-chitwan,9026258.36,11-07-2022,42-BMC/2078/079/W/NCB/126,Construction of Blacktop ped Roads in different Toles of BMC-7,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,"S B Construction,Bharatpur chitwan","S B Construction,Bharatpur chitwan",,,Single,,,,,11-12-2022,10015120.71,2078/79,,42-BMC/2078/079/W/NCB/126,No,9026258.36,0,,Works,NCB,"Construction of Blacktop
ped Roads in different Toles of BMC-7",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,11-07-2022,0.00,602878447,,,0,42-BMC/2078/079/W/NCB/126
,,Only e-Bid,,,,"Butwal-04,Rupandehi",136501957.59,12-11-2020,UDB-RUP/35000014/NCB/076-77/47,"Construction of Academic (Block A and B) & Hostel (Girls Block and Boys Block) Building, Kanti Ma. Vi., Butwal-4, Kantipath, Rupandehi",Completed,Unit rate contract,Nepal,Nepal,--Select Country--,Arghakhanchi-Lumbini J.V.,Lumbini builders Pvt.Ltd.,Arghakhanchi nirman Sewa,,Joint Venture,,,,,,176751199.85,,,UDB-RUP/35000014/NCB/076-77/47,No,0.00,100,,Works,NCB,"Construction of Academic (Block A and B) & Hostel (Girls Block and Boys Block) Building, Kanti Ma. Vi., Butwal-4, Kantipath, Rupandehi",2044,"Urban Development and Building Office, Rupandehi",51,49,,Goverment,,101402071.00,603187410,,,0,UDB-RUP/35000014/NCB/076-77/47
,,Only e-Bid,,,,chitwan,3535572.25,05-04-2022,24-BMC/2078/079/W/NCB/64,"Blacktopped Road Construction At Ward no 2, (sichaai)",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,M/S Pradip Nirman Sewa,Pradip Nirman Sewa,,,Single,,,,,07-08-2022,3923106.27,2078/79,,24-BMC/2078/079/W/NCB/64,No,0.00,100,,Works,NCB,"Blacktopped Road Construction At Ward no 2, (sichaai)",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,05-04-2022,3535572.25,611317409,,,0,24-BMC/2078/079/W/NCB/64
,,Only e-Bid,,,,"Birendranagar-6,Surkhet",16188101.93,05-04-2022,UDB-RUP/34701013/NCB/078-79/39,"Building Construction Works of Water Supply & Sanitation Division Office at Yogikuti, Rupandehi.",In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,Majdur Construction Pvt.Ltd.,"Majdur Construction Pvt.Ltd,",,,Single,,,,,,24382472.77,2078/79,,UDB-RUP/34701013/NCB/078-79/39,No,16188101.93,0,,Works,NCB,"Building Construction Works of Water Supply & Sanitation Division Office at Yogikuti, Rupandehi.",2044,"Urban Development and Building Office, Rupandehi",100,,,Goverment,,0.00,609620591,,,0,UDB-RUP/34701013/NCB/078-79/39
,,Only e-Bid,42-BMC/2078/079/W/NCB/127,,,bharatpur-chitwan,1735397.50,19-07-2022,43-BMC/2078/079/G/SQ/127,Supply and Delivery of NP3 Hume Pipes Of Different Sizes At BMC(1-29),Completed,Contract for Supply of specific goods or other service,Nepal,--Select Country--,--Select Country--,"New chitwan hume pipe udyog pvt.ltd.,Bharatpur-4","New chitwan hume pipe udyog pvt.ltd.,Bharatpur-4",,,Single,,,,,20-07-2022,1996537.67,2078/79,,43-BMC/2078/079/G/SQ/127,No,0.00,100,,Goods,Sealed Quotation,"Supply and Delivery of NP3 Hume Pipes Of Different
Sizes At BMC(1-29)",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,19-07-2022,1735397.50,300010446,,,0,43-BMC/2078/079/G/SQ/127
,,Only e-Bid,,,,Bharatpur,3012693.00,24-12-2021,8-BMC/2078/079/G/NCB/11,Supply and Delivery of NP3 Hume Pipe at Bharatpur Metropolitan City,Completed,Contract for Supply of specific goods or other service,Nepal,--Select Country--,--Select Country--,Acute Nepal P Ltd.,Acute Nepal P Ltd.,,,Single,,,,,23-06-2022,5347410.86,2078/79,,8-BMC/2078/079/G/NCB/11,No,0.00,100,,Goods,NCB,Supply and Delivery of NP3 Hume Pipe at Bharatpur Metropolitan City,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,24-12-2021,3012693.00,300010668,,,0,8-BMC/2078/079/G/NCB/11
,,Only e-Bid,,,,chitwan,3703298.72,06-04-2022,24-BMC/2078/079/W/NCB/65,"""Madhybindu Tole Bikas Sanstha Antargat Purba Ganesh Chowksamma Kalopatre  Nirman Kaary, BMC 07""",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,"""Darshan Nirman Sewa",Darshan Nirman Sewa,,,Single,,,,,08-08-2022,4381802.53,2078/79,,24-BMC/2078/079/W/NCB/65,No,0.00,100,,Works,NCB,"""Madhybindu Tole Bikas Sanstha Antargat Purba Ganesh Chowksamma Kalopatre
 Nirman Kaary, BMC 07""",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,06-04-2022,3703298.72,602206738,,,0,24-BMC/2078/079/W/NCB/65
,,Only e-Bid,43-BMC/2078/079/W/NCB/129,,,bharatpur-chitwan,2445101.62,11-07-2022,43-BMC/2078/079/W/NCB/129,"Blacktopped Road Construction (Namaste Chowk Purba Sadak), BMC-14",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,"S B Construction,Bharatpur chitwan","S B Construction,Bharatpur chitwan",,,Single,,,,,11-10-2022,2586783.25,2078/79,,43-BMC/2078/079/W/NCB/129,No,0.00,100,,Works,NCB,"Blacktopped Road Construction (Namaste Chowk Purba
Sadak), BMC-14",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,11-07-2022,2445101.62,602878447,,,0,43-BMC/2078/079/W/NCB/129
,,--Select Bidding Process --,,,,Bharatpur-2,6902223.68,09-02-2022,9-BMC/2078/079/W/NCB/12,Construction of Surface Drainage System in BMC-10,Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,D.And.S. Himalayan construction pvt.ltd,D.And.S. Himalayan construction pvt.ltd,,,Single,,,,,09-06-2022,11001952.75,2078/79,,9-BMC/2078/079/W/NCB/12,No,0.00,100,,Works,NCB,Construction of Surface Drainage System in BMC-10,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,09-02-2022,6902223.68,606879587,,,0,9-BMC/2078/079/W/NCB/12
,,Only e-Bid,,,,chitwan,729062.89,17-05-2022,25-BMC/2078/079/W/SQ/67,"Road Construction Works At Prerana Marga, Baikuntha path, BMC-4",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,M/S Aruna construction,M/S Aruna construction,,,Single,,,,,,729076.31,2078/79,,25-BMC/2078/079/W/SQ/67,No,0.00,100,,Works,Sealed Quotation,"Road Construction Works At Prerana Marga, Baikuntha path, BMC-4",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,17-05-2022,729062.89,302837681,,,0,25-BMC/2078/079/W/SQ/67
,,--Select Bidding Process --,42-BMC/2078/079/W/NCB/130,,,bharatpur-chitwan,2530618.28,17-07-2022,43-BMC/2078/079/W/NCB/130,"Drainage and Blacktopped Road Construction , BMC-10 (Purano Synergy Chowk Dekhi Naya Synergy chowk samma)",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,"Siddhartha Nirman Sewa,Bharatpur-12","Siddhartha Nirman Sewa,Bharatpur-12",,,Single,,,,,12-12-2022,2799922.50,2078/79,,43-BMC/2078/079/W/NCB/130,No,0.00,100,,Works,NCB,"Drainage and Blacktopped Road Construction , BMC-10
(Purano Synergy Chowk Dekhi Naya Synergy chowk
samma)",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,17-07-2022,2530618.28,304813197,,,0,43-BMC/2078/079/W/NCB/130
,,Only e-Bid,,,,chitwan,2347724.61,20-04-2022,25-BMC/2078/079/W/NCB/68,"Construction Of RCC Box Culvert , Ward no 1 Devghat",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,M/S Gautam Builders,M/S Gautam Builders,,,Single,,,,,23-07-2022,3178871.95,2078/79,,25-BMC/2078/079/W/NCB/68,No,0.00,100,,Works,NCB,"Construction Of RCC Box Culvert , Ward no 1 Devghat",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,20-04-2022,2347724.61,661566224,,,0,25-BMC/2078/079/W/NCB/68
,,Only e-Bid,,,,Bharatpur-14,6309690.18,21-12-2021,9-BMC/2078/079/W/NCB/13,Blacktopped Road Construction at Bharatpur Ward No. 22,In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,"shivastal niram pvt. ltd.,",shivastal niram pvt. ltd.,,,Single,,,,,20-06-2022,7928110.85,2078/79,,9-BMC/2078/079/W/NCB/13,No,6309690.18,0,,Works,NCB,Blacktopped Road Construction at Bharatpur Ward No. 22,887,Bharatpur Metropolitian City Office,100,,,Internal Resource,28-12-2021,0.00,609512858,,,0,9-BMC/2078/079/W/NCB/13
,,Only e-Bid,43-BMC/2078/079/W/SQ/131,,,bharatpur-chitwan,1623640.50,15-06-2022,43-BMC/2078/079/W/SQ/131,"Blacktopped Road Construction (Shital Path Prakash Tiwariko Ghar Line), BMC-9",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,"S B Construction,Bharatpur chitwan","S B Construction,Bharatpur chitwan",,,Single,,,,,17-09-2022,1625118.81,2078/79,,43-BMC/2078/079/W/SQ/131,No,0.00,100,,Works,Sealed Quotation,"Blacktopped Road Construction (Shital Path Prakash
Tiwariko Ghar Line), BMC-9",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,15-06-2022,1623640.50,602878447,,,0,43-BMC/2078/079/W/SQ/131
,,Only e-Bid,,,,chitwan,1659577.33,20-04-2022,24-BMC/2078/079/W/NCB/69,"Police chauki agadiko bato slab dhalan (Devghat, BMC 1)",Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,M/S Surya shree construction,M/S Surya shree construction,,,Single,,,,,21-06-2022,2147060.38,2078/79,,24-BMC/2078/079/W/NCB/69,No,0.00,100,,Works,NCB,"Police chauki agadiko bato slab dhalan (Devghat, BMC 1)",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,20-04-2022,1659577.33,601152227,,,0,24-BMC/2078/079/W/NCB/69
,,--Select Bidding Process --,,,,Bharatpur-14,7151887.80,21-12-2021,9-BMC/2078/079/W/NCB/14,"Construction Of Additional Storey On Existing Ward Office Building , Ward No.22",In-Progress,Unit rate contract,Nepal,--Select Country--,--Select Country--,shivastal niram pvt. ltd.,shivastal niram pvt. ltd.,,,Single,,,,,22-08-2022,10609988.24,2078/79,,9-BMC/2078/079/W/NCB/14,No,7151887.80,0,,Works,NCB,"Construction Of Additional Storey On Existing Ward Office Building , Ward No.22",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,21-12-2021,0.00,609512858,,,0,9-BMC/2078/079/W/NCB/14
,,--Select Bidding Process --,,,,BMC-12,10010670.00,03-01-2022,9-BMC/2078/079/G/NCB/15,"Supply and Delivery of Furniture and Fixtures at Bharatpur Metropolitan  City.""",Completed,Contract for Supply of specific goods or other service,Nepal,--Select Country--,--Select Country--,"Narayani Furniture  Center,",Narayani Furniture  Center,,,Single,,,,,02-05-2022,14613677.96,2078/79,,9-BMC/2078/079/G/NCB/15,No,0.00,100,,Goods,NCB,"""Supply and Delivery of Furniture and Fixtures at Bharatpur Metropolitan
 City.""",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,03-01-2022,10010670.00,300640768,,,0,9-BMC/2078/079/G/NCB/15
,,Only e-Bid,,,,BMC-16,1630092.80,01-02-2022,11-BMC/2078/079/G/SQ/17,Supply and Delivery of Concrete Ring as per Specification at Bharatpur Metropolitan  City.,Completed,Contract for Supply of specific goods or other service,Nepal,--Select Country--,--Select Country--,Shiwa Shankar Builders & Suppliers Pvt. Ltd.,Shiwa Shankar Builders & Suppliers Pvt. Ltd.,,,Single,,,,,01-05-2022,1960540.96,2078/79,,11-BMC/2078/079/G/SQ/17,No,0.00,100,,Goods,Sealed Quotation,"""Supply and Delivery of Concrete Ring as per Specification at Bharatpur Metropolitan
 City.""",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,01-02-2022,1630092.80,609696992,,,0,11-BMC/2078/079/G/SQ/17
,,Only e-Bid,,,,BMC-3,1457355.35,24-01-2022,RE-11-BMC/2078/079/G/SQ/18,Supply and Delivery of Ladies Bicycle as per Specification at Bharatpur Metropolitan City  Office.,Completed,Contract for Supply of specific goods or other service,Nepal,--Select Country--,--Select Country--,D.R. Cycle Stores,D.R. Cycle Stores,,,Single,,,,,23-04-2022,1698461.19,2078/79,,RE-11-BMC/2078/079/G/SQ/18,No,0.00,100,,Goods,Sealed Quotation,"""Supply and Delivery of Ladies Bicycle as per Specification at Bharatpur Metropolitan City
 Office.""",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,24-01-2022,1457355.35,301229892,,,0,RE-11-BMC/2078/079/G/SQ/18
Others,,Only e-Bid,DBCRP/33701121/078/79-02,DBCRP/33701121/078/79-02,,Hetaunda,11365873.58,04-02-2022,DBCRP/33701121/078/79-02,"Reactive Maintenance works on Dumre Besishahar Road [Ch: 8+300=9+500], Tanahun",In-Progress,Unit rate contract,Nepal,Nepal,--Select Country--,Karki Builders/ Laligurans Construction J.V,Karki Builders,Laligurans Construction,,Joint Venture,,11-10-2022,11-10-2022,,11-10-2022,19322391.45,2078/79,,02-DBCRP/078/79,Yes,3909007.86,66,,Works,NCB,"Reactive Maintenance works on Dumre Besishahar Road [Ch: 8+300=9+500], Tanahun",3897,Dumre-Besishahar-Chame Road Project,51,49,,Goverment,04-02-2022,7456865.72,300278666,605884399,,0,DBCRP/33701121/078/79-02
,,Only e-Bid,,,,Bharatpur-2,1205440.50,28-12-2021,11-BMC/2078/079/W/SQ/19,Construction of Costumer Waiting House at Bharatpur Metropolitan City  Office Premises.,Completed,Unit rate contract,Nepal,--Select Country--,--Select Country--,D.And.S. Himalayan construction pvt.ltd,D.And.S. Himalayan construction pvt.ltd,,,Single,,,,,26-04-2022,1757277.36,2078/79,,11-BMC/2078/079/W/SQ/19,No,0.00,100,,Works,Sealed Quotation,"""Construction of Costumer Waiting House at Bharatpur Metropolitan City
 Office Premises.""",887,Bharatpur Metropolitian City Office,100,,,Internal Resource,28-12-2021,1205440.50,606879587,,,0,11-BMC/2078/079/W/SQ/19
