sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code,SCPType,beneficialOwner,biddingProcess,bolpatraId1,bolpatraId2,bolpatraId3,contractAddress,contractDate,contractType,contractorCountry1,contractorCountry2,contractorCountry3,contractorGenericName,contractorName1,contractorName2,contractorName3,contractorType,deliveryDate,dlpEndDate,dlpStartDate,donorParty,endOrCompleteDate,estimatedCost,fiscalYear,grantLoanNo,ifbNo,isSCP,outstandingValue,percentageOfCompletion,postValidationDate,projectDescription,publicEntity,publicEntityName,sharedPercentage1,sharedPercentage2,sharedPercentage3,sourceOfFund,startDate,totalPayment,vat_no1,vat_no2,vat_no3,warrantyPeriod,contract_id
486,Butwal Sub-Metropolitan City,"Improvement of Physical Infrastructures, Butwal-12",9297999.2,Works,NCB,In-Progress,18/077/078/NCB,,,Only e-Bid,18/077/078/NCB,,,"Mangalasen-05, Achham",06-04-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Banshika Nirman Sewa,Banshika Nirman Sewa,,,Single,,09-07-2022,10-07-2021,,09-07-2021,14826543.78,2077/78,,18/077/078/NCB,No,2333232.01,25,,"Improvement of Physical Infrastructures, Butwal-12",909,Butwal Sub-Metropolitan City,100,,,Internal Resource,06-04-2021,2333232.01,302529809,,,0,18/077/078/NCB
487,Butwal Sub-Metropolitan City,"Reconstruction of Road and Drain with Footpath, Butwal 8,Tribhuwanpath , Rupandehi",18190955.71,Works,NCB,In-Progress,27/077/78/NCB,,,Only e-Bid,27/077/78/NCB,27/077/78/NCB,,"Tilottama-06, Rupandehi",19-05-2021,Unit rate contract,Nepal,Nepal,Nepal,Rayamajhi-Nim Construction J/V,Rayamajhi Construction Pvt. Ltd.,Nim Construction Company Pvt. Ltd.,,Joint Venture,,16-02-2023,17-02-2022,,16-02-2021,24578049.48,2077/78,,27/077/78/NCB,No,14662596.31,0,,"Reconstruction of Road and Drain with Footpath, Butwal 8,Tribhuwanpath , Rupandehi",909,Butwal Sub-Metropolitan City,51,49,,Internal Resource,19-05-2021,14662596.31,300080926,609707184.0,,0,27/077/78/NCB
488,Geruwa Rural Municipality,Construction of culvert at jhabai dekhi budhikulo jane bato,1358157.68,Works,Sealed Quotation,Completed,W/GRM/SQW/04/2078-079,,,Only e-Bid,,,,Geruwa 05 Bardiya,24-02-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Niraula Builders,Niraula Builders,,,Single,,,,,,1999991.06,2078/79,,W/GRM/SQW/04/2078-079,No,0.0,100,,Culvert nirman,1649,Geruwa Rural Municipality,100,,,Goverment,,1329093.0,603651405,,,0,W/GRM/SQW/04/2078-079
489,Geruwa Rural Municipality,Road gravelling work from kishan pra bi towards bhakari bazar,1055130.76,Works,Sealed Quotation,Completed,W/GRM/SQW/06/2078-079,,,Only e-Bid,,,,new baneswor kathmandu,09-03-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Tulasi Engineering and construction pvt. ltd.,Tulasi engineering and construction pvt. ltd.,,,Single,,,,,,1948566.0,2078/79,,W/GRM/SQW/06/2078-079,No,0.0,100,,Road gravelling,1649,Geruwa Rural Municipality,100,,,Goverment,,886450.0,606800219,,,0,W/GRM/SQW/06/2078-079
490,"Rajapur Municipality Office, Rajapur",Dhobinpur Chowk dekhi katarniya Jane Batoko Dubai Tarfa Nala Nirman yojana,1403593.73,Works,Sealed Quotation,In-Progress,25/RM/SQ/W/2078/079,,,Only e-Bid,,,,Dhangadhi-5 Hasanpur kailali,07-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Hathiya baba Nirman sewa,Hathiyababa Nirman Sewa,,,Single,,17-08-2023,17-08-2022,,16-08-2022,1929593.73,2078/79,,25/RM/SQ/W/2078/079,No,393335.73,0,,Dhobinpur Chowk dekhi katarniya Jane Batoko Dubai Tarfa Nala Nirman yojana,792,"Rajapur Municipality Office, Rajapur",100,,,Goverment,25-04-2022,1010258.0,606601502,,,0,25/RM/SQ/W/2078/079
491,Geruwa Rural Municipality,Road gravelling work from ultanpur madan tharu ko ghar dekhi bhairampur sadakma,480428.54,Works,Sealed Quotation,Completed,W/GRM/SQW/07/2078-079,,,Only e-Bid,,,,Geruwa 06 Bardiya,06-02-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Chitra Construction,Chitra Construction,,,Single,,,,,,874298.1,2078/79,,W/GRM/SQW/07/2078-079,No,0.0,100,,Road gravelling,1649,Geruwa Rural Municipality,100,,,Goverment,,479854.5,603026577,,,0,W/GRM/SQW/07/2078-079
492,Geruwa Rural Municipality,Construction of Boundary wall of Kalika PRA. VI,431620.89,Works,Sealed Quotation,Completed,W/GRM/SQW/10/2078-079,,,Only e-Bid,,,,"dhangadi, kailali",28-02-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Hathiyababa nirman sewa pvt. ltd.,Hathiyababa nirman sewa pvt. ltd.,,,Single,,,,,,518001.63,2078/79,,W/GRM/SQW/10/2078-079,No,0.0,100,,Wall nirman,1649,Geruwa Rural Municipality,100,,,Goverment,,430176.71,606601502,,,0,W/GRM/SQW/10/2078-079
493,Geruwa Rural Municipality,Bhatera dekhi bankhet jane bato gravel and khopclinic dekhi ramu chauraha samma bato gravel,681772.2,Works,Sealed Quotation,Completed,W/GRM/SQW/11/2078-079,,,Only e-Bid,,,,Geruwa 06 Bardiya,19-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Chitra construction,Chitra Construction,,,Single,,,,,,1350548.24,2078/79,,W/GRM/SQW/11/2078-079,No,0.0,100,,Gravelling road,1649,Geruwa Rural Municipality,100,,,Goverment,,669478.95,603026577,,,0,W/GRM/SQW/11/2078-079
494,"Nepalgunj Sub Metropolitan Office, Banke",Construction of commercial building and fire fighting garage in the premisses of nagar bhawan,45403688.7,Works,NCB,In-Progress,NSMC/NCB/W01/078-079,Others,,Only e-Bid,NSMC/NCB/W01/078-079,NSMC/NCB/W01/078-079,,"Kathmandu, Nepal",07-12-2021,Unit rate contract,Nepal,Nepal,Nepal,"aattreya/ purna chandra JV kamalamai, sindhuli","Aattreya nirman sewa P. L., kamalamai, sindhuli","Purna chandra nirman sewa, dhunge municipality, nuwakot",,Joint Venture,,,,,30-12-2022,67498839.65,2078/79,,NSMC/NCB/W01/078-079,Yes,0.0,40,,Construction of commercial building and fire fighting garage in the premisses of nagar bhawan,2043,"Nepalgunj Sub Metropolitan Office, Banke",51,49,,Goverment,07-12-2021,19531270.66,302068496,300090022.0,,0,NSMC/NCB/W01/078-079
495,Geruwa Rural Municipality,Procurment of supply abd delivery of Furniture and fixtures,1113250.0,Goods,Sealed Quotation,Completed,Goods/GRM/SQG/03/2078-079,,,Only e-Bid,,,,BUTWAL,10-03-2022,Framework or unit rate contract,Nepal,--Select Country--,--Select Country--,Butwal Technomart,Butwal Technomart,,,Single,,,,,,1500351.19,2078/79,,Goods/GRM/SQW/03/2078-079,No,0.0,100,,furniture kharid,1649,Geruwa Rural Municipality,100,,,Goverment,,1113250.0,305351889,,,0,Goods/GRM/SQG/03/2078-079
496,Geruwa Rural Municipality,Supply and delivery of ICT Equipment,1671496.0,Goods,Sealed Quotation,Completed,Goods/GRM/SQG/04/2078-079,,,Only e-Bid,,,,Gulariya Bardiya,22-04-2022,Framework or unit rate contract,Nepal,--Select Country--,--Select Country--,Deep order and suppliers,Deep order and suppliers,,,Single,,,,,,1958000.0,2078/79,,Goods/GRM/SQW/04/2078-079,No,0.0,100,,ICT Equipment kharid,1649,Geruwa Rural Municipality,100,,,Goverment,,1671496.0,305203353,,,0,Goods/GRM/SQG/04/2078-079
497,"Rajapur Municipality Office, Rajapur",Ward No 4 Renisha Boarding School dekhi Shantipur chowk hudai Bhimmapur Barpipal Samma Road Construction works PHASE -2,7108988.67,Works,NCB,In-Progress,27/RM/NCB/W/2078/079,,,Only e-Bid,,,,"Rajapur-4,Bardiya",22-06-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,RS Nirman Sewa,RS Nirman Sewa,,,Single,,23-04-2024,23-04-2023,,22-04-2023,10996161.23,2078/79,,27/RM/NCB/W/2078/079,No,7108988.67,0,,Ward No 4 Renisha Boarding School dekhi Shantipur chowk hudai Bhimmapur Barpipal Samma Road Construction works PHASE -2,792,"Rajapur Municipality Office, Rajapur",100,,,Goverment,22-06-2022,0.0,305658966,,,0,27/RM/NCB/W/2078/079
498,Geruwa Rural Municipality,Purches and supply of different size humpipe at GRM,483961.48,Goods,Sealed Quotation,Completed,Goods/GRM/SQG/06/2078-079,,,Only e-Bid,,,,banke,19-03-2022,Framework or unit rate contract,Nepal,--Select Country--,--Select Country--,Bageswori humpipe and bidhut pole udhyog,Bageswori humpipe and bidhut pole udhyog,,,Single,,,,,,884172.13,2078/79,,Goods/GRM/SQG/06/2078-079,No,0.0,100,,humpipe kharid,1649,Geruwa Rural Municipality,100,,,Goverment,,483961.48,606849607,,,0,Goods/GRM/SQG/06/2078-079
499,"Rajapur Municipality Office, Rajapur","Ward no-6, manpur tapara Iswarigunj sadak starunnati",7449313.1,Works,NCB,In-Progress,28/RM/NCB/W/2078/079,,,Only e-Bid,,,,"Rajapur-4,Bardiya",22-06-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,RS Nirman Sewa,RS Nirman Sewa,,,Single,,23-04-2024,23-04-2023,,22-04-2023,12887186.16,2078/79,,28/RM/NCB/W/2078/079,No,7449313.1,0,,"Ward no-6, manpur tapara Iswarigunj sadak starunnati",792,"Rajapur Municipality Office, Rajapur",100,,,Internal Resource,22-06-2022,0.0,305658966,,,0,28/RM/NCB/W/2078/079
500,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Lichhi Bagan (Debijhoda/ Naksalbari) Trail Bridge",18802529.91,Works,NCB,In-Progress,CTP-11/078/79,,,Only e-Bid,,,,"Bidur-1, Dhunge",29-06-2022,Lump sum contract,Nepal,Nepal,Nepal,S.A.\B.M.\Shailendra JV,S. A. Nirman Sewa,B.M. Construction Pvt. Ltd.,,Joint Venture,,30-12-2024,30-12-2023,,29-12-2023,29768890.69,2078/79,,NCB-9-19-078-79,No,0.0,0,,"span 189.40m, N, Lohandra khola, Morang",289,Suspension Bridge Division (SBD),40,30,,Goverment,29-06-2022,0.0,300066375,605962628.0,,0,CTP-11/078/79
501,"Nepalgunj Sub Metropolitan Office, Banke","bageswori children park with restaurent, shutter and parking construction work",18277923.9,Works,NCB,In-Progress,NSMC/NCB/W04/078/079,Others,,Only e-Bid,NSMC/NCB/W04/078/079,NSMC/NCB/W04/078/079,NSMC/NCB/W04/078/079,"tokha, kathmandu",27-06-2022,Unit rate contract,Nepal,Nepal,Nepal,uchchakoti shree gorakhnath- bajarang J V,shree gorakhnath construction and merchandiser pvt ltd,uchchakoti nirman sewa pvt ltd,bajranga nirman sewa,Joint Venture,,,,,20-12-2022,29998294.37,2078/79,,NSMC/NCB/W04/078/079,Yes,0.0,0,,"bageswori children park with restaurent, shutter and parking construction work",2043,"Nepalgunj Sub Metropolitan Office, Banke",50,25,25,Goverment,27-06-2022,0.0,605990515,604231529.0,300230448.0,0,NSMC/NCB/W04/078/079
502,"Nepalgunj Sub Metropolitan Office, Banke",Earthwork and pavement construction work of water park land pooling project,21415501.43,Works,NCB,In-Progress,01/NTDC-01/077/078,Others,,Only e-Bid,01/NTDC-01/077/078,01/NTDC-01/077/078,01/NTDC-01/077/078,"navbasta, banke",11-05-2021,Unit rate contract,Nepal,Nepal,Nepal,Keshav shah/ shree krishna/ nishan JV,Keshav shah construction sewa pvt ltd,shree krishna nirman sewa,nishan builders,Joint Venture,,,,,30-12-2022,41429546.02,2077/78,,01/NTDC-01/077/078,Yes,0.0,45,,Earthwork and pavement construction work of water park land pooling project,2043,"Nepalgunj Sub Metropolitan Office, Banke",40,30,30,Others,11-05-2021,8500000.0,30025820,300229934.0,300126389.0,0,01/NTDC-01/077/078
503,Butwal Sub-Metropolitan City,"Construction of Shree Naharpur Secondary School Butwal-11, Naharpur, Rupandehi",32925118.53,Works,NCB,In-Progress,34/077/78/NCB,,,Only e-Bid,34/077/78/NCB,34/077/78/NCB,,Butwal-12,09-07-2021,Unit rate contract,Nepal,Nepal,--Select Country--,"Cm-Sagun J/v ,",C.M. Construction Private Limited,Sagun Construction,,Joint Venture,,,,,,49991401.28,2077/78,,34/077/78/NCB,No,11388478.19,35,,"Construction of Shree Naharpur Secondary School Butwal-11, Naharpur, Rupandehi",909,Butwal Sub-Metropolitan City,51,49,,Others,09-07-2021,11388478.19,301786089,304894152.0,,0,34/077/78/NCB
504,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Jortighat Trail Bridge",13191620.0,Works,NCB,In-Progress,CTP-19/078/79,,,Only e-Bid,,,,"KMC-32, Pepsicola",22-07-2022,Lump sum contract,Nepal,Nepal,--Select Country--,"Upper Tamakoshi - J.K. J.V.,",Upper Tamakoshi Builders Pvt. Ltd,J.K Builders,,Joint Venture,,20-01-2025,20-01-2024,,19-01-2024,20458862.27,2078/79,,NCB-9-19-078-79,No,13191620.0,0,,"span 307m/D, over sunkoshi/Dudhkoshi river, Khotang/ Okhaldhunga/Udayapur",289,Suspension Bridge Division (SBD),60,40,,Goverment,22-07-2022,0.0,302890916,605074466.0,,0,CTP-19/078/79
505,Butwal Sub-Metropolitan City,"Construction of Black Top Road ,Drain with Foot Path, Butwal 6, Jyotipath , Rupandehi",34626838.96,Works,NCB,In-Progress,47/077/78/NCB,,,Only e-Bid,47/077/78/NCB,47/077/78/NCB,,Butwal-03,09-06-2021,Unit rate contract,Nepal,--Select Country--,--Select Country--,Rayamajhi asiactiv jv,Rayamajhi Construction Pvt. Ltd.,,,Joint Venture,,,,,29-06-2022,42125025.94,2077/78,,47/077/78/NCB,No,10502196.44,0,,"Construction of Black Top Road ,Drain with Foot Path, Butwal 6, Jyotipath ,
Rupandehi",909,Butwal Sub-Metropolitan City,55,45,,Others,09-06-2021,10502196.44,300080926,,,0,47/077/78/NCB
506,"Nepalgunj Sub Metropolitan Office, Banke",drain construction work at water park land pooling project site,68348665.72,Works,NCB,In-Progress,01/NTDC/078/079,Others,,Only e-Bid,01/NTDC/078/079,,,"nepalgunj, banke",17-05-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,narayanam nirman sewa pvt ltd,narayanam nirman sewa pvt ltd,,,Single,,,,,14-06-2023,77443585.33,2078/79,,01/NTDC/078/079,Yes,0.0,2,,drain construction work at water park land pooling project site,2043,"Nepalgunj Sub Metropolitan Office, Banke",100,,,Others,17-05-2022,6800000.0,603537282,,,0,01/NTDC/078/079
507,Geruwa Rural Municipality,Construction of culvert at sukhar bisaunipur and road upgrading work from subba kulo culvert towards bhagatpur jane bato,1274250.72,Works,Sealed Quotation,Completed,W/GRM/SQW/05/2078-079,,,Only e-Bid,,,,Geruwa 05 Bardiya,09-03-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Niraula Builders,Niraula Builders,,,Single,,,,,,1999811.71,2078/79,,W/GRM/SQW/05/2078-079,No,0.0,100,,Culvert and gravelling work,1649,Geruwa Rural Municipality,100,,,Goverment,,1147818.0,603651405,,,0,W/GRM/SQW/05/2078-079
508,Geruwa Rural Municipality,Construction of Box Culvert at patabhar sanjeev tharu ko ghar najik,622759.14,Works,Sealed Quotation,Completed,W/GRM/SQW/08/2078-079,,,Only e-Bid,,,,tikapur kailali,24-02-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Seto Bagh Builders,Seto Bagh Builders,,,Single,,,,,,773605.05,2078/79,,W/GRM/SQW/08/2078-079,No,0.0,100,,Culvert nirman,1649,Geruwa Rural Municipality,100,,,Goverment,,621545.0,615039655,,,0,W/GRM/SQW/08/2078-079
509,Geruwa Rural Municipality,Banjariya school dekhi uttar tarfa bindra niskane sadak gravel maintaintance,1498818.04,Works,Sealed Quotation,Completed,W/GRM/SQW/13/2078-079,,,Only e-Bid,,,,Geruwa 06 Bardiya,23-07-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Chitra Construction,Chitra Construction,,,Single,,,,,,1999999.22,2078/79,,W/GRM/SQW/13/2078-079,No,0.0,100,,Road Gravelling,1649,Geruwa Rural Municipality,100,,,Goverment,,1496863.83,603026577,,,0,W/GRM/SQW/13/2078-079
510,Infrastructure Development Office Chitwan,Bharatpur Ward no.4-Barhaghare 2 no.Bridge-Baikunthachowk-Dharapanichowk- Adhaitchowk-Bishalchowk-Panchratna Feed-Bimal Paudel Home-South Tribenichowk- Lamsalchowl-Indrapuri-Geetanagar Road,3876719.0,Works,NCB,In-Progress,IDO/CHT/W/NCB/127/078-79,,,Only e-Bid,,,,"Khairahani-12, Chitwan",30-03-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Sahisa Nirman Sewa Pvt. Ltd.,Sahisa Nirman Sewa Pvt. Ltd.,,,Single,,,,,29-06-2022,5161482.49,2078/79,,IDO/CHT/W/NCB/127/078-79,No,1556268.98,0,,Bharatpur Ward no.4-Barhaghare 2 no.Bridge-Baikunthachowk-Dharapanichowk-                                         Adhaitchowk-Bishalchowk-Panchratna Feed-Bimal Paudel Home-South Tribenichowk-                                                             Lamsalchowl-Indrapuri-Geetanagar Road,1843,Infrastructure Development Office Chitwan,100,,,Goverment,30-03-2022,2320450.02,609565733,,,0,IDO/CHT/W/NCB/127/078-79
511,Infrastructure Development Office Chitwan,Bikram Marg - Devkota Marga to East West Highway Road,2000636.96,Works,NCB,In-Progress,IDO/CHT/W/NCB/128/078-79,,,Only e-Bid,,,,Bharatpur Metropolitian City-9 Chitwan,29-03-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Mahaakali Construction,Mahaakali Construction,,,Single,,,,,29-06-2022,2522995.78,2078/79,,IDO/CHT/W/NCB/128/078-79,No,2000636.96,0,,"Bikram Marg-Devkota Marga to East West Highway Road, Bharatpur-10",1843,Infrastructure Development Office Chitwan,100,,,Goverment,29-03-2022,0.0,607224045,,,0,IDO/CHT/W/NCB/128/078-79
512,Infrastructure Development Office Chitwan,Fabrication and Construction of Long Span Suspension Bridge (Chande Khola Trial Brigde) under Turn Key (Lump sum) Contract,12882000.0,Works,NCB,In-Progress,IDO/CHT/W/NCB/141/078-79,,,Only e-Bid,,,,"Kathmandu, Nepal",09-06-2022,Lump sum contract,Nepal,--Select Country--,--Select Country--,Lama Pragati Nirman Sewa,Lama Pragati Nirman Sewa,,,Single,,,,,24-12-2023,13327466.47,2078/79,,IDO/CHT/W/NCB/141/078-79,No,12312000.0,0,,"Fabrication and Construction of Long Span Suspension Bridge (Chande Khola
Trial Brigde) under Turn Key (Lump sum) Contract",1843,Infrastructure Development Office Chitwan,100,,,Goverment,23-06-2022,570000.0,300094040,,,0,IDO/CHT/W/NCB/141/078-79
513,Infrastructure Development Office Chitwan,Bharatpur Ward no.4-Barhaghare 2 no.Bridge-Baikunthachowk-Dharapanichowk-Adhaitchowk-Bishalchowk-Panchratna Feed-Bimal Paudel Home-South Tribenichowk- Lamsalchowl-Indrapuri-Geetanagar Road,13095168.6,Works,NCB,In-Progress,IDO/CHT/W/NCB/144/078-79,,,Only e-Bid,,,,"Bharatpur-09, Chitwan",14-06-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Samata Construction,Dev Builders Pvt.Ltd,,,Single,,,,,30-06-2023,15061426.39,2078/79,,IDO/CHT/W/NCB/144/078-79,No,13095168.6,0,,Bharatpur Ward no.4-Barhaghare 2 no.Bridge-Baikunthachowk-Dharapanichowk-Adhaitchowk-Bishalchowk-Panchratna Feed-Bimal Paudel Home-South Tribenichowk- Lamsalchowl-Indrapuri-Geetanagar Road,1843,Infrastructure Development Office Chitwan,100,,,Goverment,14-06-2022,0.0,605970487,,,0,IDO/CHT/W/NCB/144/078-79
514,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Dhodhyani Multispan Trail Bridge",65867005.66,Works,NCB,In-Progress,NCB-16/078/79,,,Only e-Bid,,,,Kathmandu,11-07-2022,Unit rate contract,Nepal,Nepal,Nepal,Dragon/Jagadamba JV,Jagadamba Nirman Company Pvt. Ltd,Dragon Construction Pvt. Ltd.,,Joint Venture,,25-06-2025,25-06-2024,,24-06-2024,100459156.97,2078/79,,NCB-9-19-078-79,No,65867005.66,0,,"455m/ Multispan, over Kamala river, Sindhuli",289,Suspension Bridge Division (SBD),60,40,,Goverment,11-07-2022,0.0,605916300,600825489.0,,0,NCB-16/078/79
515,Infrastructure Development Office Chitwan,Rampur- Town- Semari Town- Sajhapur- Jitpur Road,1445742.86,Works,Sealed Quotation,In-Progress,IDO/CHT/W/SQ/136/078-79,,,Only e-Bid,,,,"Makawanpur, Nepal",31-03-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,ASC Construction and Multiporpose Company Pvt.Ltd,ASC Construction and Multiporpose Company Pvt.Ltd,,,Single,,,,,29-06-2022,1499559.22,2078/79,,IDO/CHT/W/SQ/136/078-79,No,1445742.86,0,,Rampur- Town- Semari Town- Sajhapur- Jitpur Road,1843,Infrastructure Development Office Chitwan,100,,,Goverment,31-03-2022,0.0,606530518,,,0,IDO/CHT/W/SQ/136/078-79
516,Infrastructure Development Office Chitwan,Shaktikhor Siddi Ramtesh Thakuribhanjyang Chepang Marg,7605454.01,Works,NCB,In-Progress,IDO/CHT/W/NCB/125/078-79,,,Only e-Bid,,,,"Bharatpur, Chitwan",03-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Perisha Construction and Supplier Pvt Ltd,Perisha Construction and Supplier Pvt Ltd,,,Single,,,,,04-07-2022,9996253.1,2078/79,,IDO/CHT/W/NCB/125/078-79,No,804098.12,0,,Shaktikhor Siddi Ramtesh Thakuribhanjyang Chepang Marg,1843,Infrastructure Development Office Chitwan,100,,,Goverment,03-04-2022,6801355.89,605929775,,,0,IDO/CHT/W/NCB/125/078-79
517,Infrastructure Development Office Chitwan,Black top construction work of Ganja Singh chowk- Rani pokhari bhitri Sadak,2374390.98,Works,NCB,In-Progress,IDO/CHT/W/NCB/143/078-79,,,Only e-Bid,,,,"Makawanpur, Nepal",06-06-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,ASC Construction and Multiporpose Company Pvt.Ltd,ASC Construction and Multiporpose Company Pvt.Ltd,,,Single,,,,,04-07-2022,2493567.5,2078/79,,IDO/CHT/W/NCB/143/078-79,No,1367700.53,0,,Black top construction work of Ganja Singh chowk- Rani pokhari bhitri Sadak,1843,Infrastructure Development Office Chitwan,100,,,Goverment,06-06-2022,1006690.45,606530518,,,0,IDO/CHT/W/NCB/143/078-79
518,Infrastructure Development Office Chitwan,Construction of Ladra Khola R.C.C Motorable Bridge( Multicell Culvert) along Sirkot-Utarakhand Road,35475447.78,Works,NCB,In-Progress,IDO/CHT/W/NCB/119/078-79,,,Only e-Bid,,,,"Hetauda-9, Makwanpur",04-04-2022,Unit rate contract,Nepal,Nepal,--Select Country--,Dragon-Niriksha JV,Dragon Construction Pvt. Ltd.,Niriksha Nirman Sewa Pvt. Ltd.,,Joint Venture,,,,,17-10-2023,49994079.43,2078/79,,IDO/CHT/W/NCB/119/078-79,No,32345447.78,0,,"Construction of Ladra Khola R.C.C Motorable Bridge( Multicell Culvert) along
Sirkot-Utarakhand Road",1843,Infrastructure Development Office Chitwan,51,49,,Goverment,04-04-2022,3130000.0,600825489,600016816.0,,0,IDO/CHT/W/NCB/119/078-79
519,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Bisanpur Khaijanpur Trail Bridge",71516407.24,Works,NCB,In-Progress,NCB-15/078/79,,,Only e-Bid,,,,"Chandragiri 15, Shrijanbasti",06-07-2022,Unit rate contract,Nepal,Nepal,Nepal,Ansuman/Rubina JV,Ansuman & Associates Pvt. Ltd.,RUBINA NIRMAN SEWA PVT. LTD,,Joint Venture,,02-07-2025,02-07-2024,,01-07-2024,93500123.85,2078/79,,NCB-9-19-078-79,No,71516407.24,0,,"393.91m/Multispan Over triyuga river, Udaypur",289,Suspension Bridge Division (SBD),70,30,,Goverment,06-07-2022,0.0,603507032,300019250.0,,0,NCB-15/078/79
520,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Risahaghat Trail Bridge",13767920.0,Works,NCB,Completed,CTP-13/078/79,,,Only e-Bid,,,,"Kathmandu-32, Pepsicola",08-07-2022,Lump sum contract,Nepal,--Select Country--,--Select Country--,Upper Tamakoshi-J.K. JV,Upper Tamakoshi Builders Pvt. Ltd,J.K Builders,,Joint Venture,,09-01-2025,09-01-2024,,08-01-2024,23237409.91,2078/79,,NCB-9-19-078-79,No,0.0,100,,"175m/N, over Arun river, Palpa",289,Suspension Bridge Division (SBD),60,40,,Goverment,08-07-2022,13609139.0,302890916,605074466.0,,0,CTP-13/078/79
521,Infrastructure Development Office Chitwan,Godawari Marga Srijansil Tole Road Construction,2250319.04,Works,NCB,In-Progress,IDO/CHT/W/NCB/123/078-79,,,Only e-Bid,,,,"Bharatpur-9, Chitwan",06-04-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,Applo Infra Pvt. Ltd.,Applo Infra Pvt. Ltd.,,,Single,,,,,04-07-2022,2499711.95,2078/79,,IDO/CHT/W/NCB/123/078-79,No,376914.64,0,,Godawari Marga Srijansil Tole Road Construction,1843,Infrastructure Development Office Chitwan,100,,,Goverment,06-04-2022,1873404.4,609850226,,,0,IDO/CHT/W/NCB/123/078-79
522,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Khar Khola Trail Bridge",19631490.0,Works,NCB,In-Progress,CTP-10/078/79,,,Only e-Bid,,,,"KMC-34, New baneshwor",11-07-2022,Lump sum contract,Nepal,--Select Country--,--Select Country--,Jagadamba Nrrman Company Pvt Ltd,Jagadamba Nrrman Company Pvt Ltd,,,Single,,06-01-2025,06-01-2024,,05-01-2024,37581687.73,2078/79,,NCB-9-19-078-79,No,19631490.0,0,,"span 350m/ D, over Khar khola, Sunsari",289,Suspension Bridge Division (SBD),100,,,Goverment,11-07-2022,0.0,605916300,,,0,CTP-10/078/79
523,"Bagmati river Basin Improvement project,Project Implementation Irrigation Unit",DESIGN AND BUILD OF DHAP DAM ACCESS ROAD AND ENVIRONMENTAL PROTECTION WORKS,510752347.92,Works,ICB,In-Progress,ICB/BRBIP/PIIU-01-W,Covid,,Both e-Bid & Hard Copy,,,,"Maharajgunj, Kathmandu Nepal",09-10-2015,Design and build contract,Nepal,China,Nepal,Guangzhou-Lama-Raman Joint Venture,Lama Construction Company  PVT LTD,China Guangzhou International Economic and Technical Coorperations  Company Ltd,Raman Construction PVT Ltd,Joint Venture,,15-11-2023,16-10-2016,ADB,15-10-2022,590000000.0,,3057-NEP(SF),1-2014/2015,Yes,74388117.24,0,,Dhap Dam,5265,"Bagmati river Basin Improvement project,Project Implementation Irrigation Unit",35,35,30,Grant or Loan,02-09-2015,478355983.93,300052103,,300079711.0,0,ICB/BRBIP/PIIU-01-W
524,Water Resources Research & Development Centre,"Construction of Ranisuwara Solar Lift Irrigation Project at  Bidur-13, Nuwakot.",28201378.51,Works,NCB,In-Progress,WRRDC/W/NCB/02/2078/79,,,Only e-Bid,WRRDC/W/NCB/02/2078/079,,,"Tripureshwor , Kathmandu",02-06-2022,Unit rate contract,Nepal,--Select Country--,--Select Country--,G.U.P. pvt. Ltd.,"G.U,P. Pvt.Ltd.",,,Single,,02-07-2024,02-06-2023,,02-06-2023,28990044.05,2078/79,,WRRDC/W/NCB/02/2078/79,No,23231378.51,30,,Construction of Ranisuwara Lift Irrigation Project .,626,Water Resources Research & Development Centre,100,,,Goverment,02-06-2022,4970000.0,302316481,,,0,WRRDC/W/NCB/02/2078/79
